Year,Country,GDP Per Capita - Foreign
2011,Cook Islands,
2011,Kazakhstan,"$21,970.09"
2012,New Zealand,"$38,284.93"
2012,Indonesia,"$9,080.04"
2012,Hong Kong SAR,"$53,785.15"
2012,Malaysia,"$22,136.41"
2012,Singapore,"$82,969.56"
2012,United Arab Emirates,"$57,390.71"
2012,Western Samoa,
2012,Thailand,"$15,439.87"
2012,China,"$10,397.49"
2012,India,"$4,574.74"
2012,Canada,"$46,367.50"
2012,United States,"$55,712.71"
2012,Vanuatu,"$3,163.87"
2012,Solomon Islands,"$2,312.80"
2012,Philippines,"$6,351.27"
2012,Fiji,"$10,888.16"
2012,Nauru,"$7,996.03"
2012,New Caledonia,
